GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,CNX Nifty Sec., , , 
 , , , , 
G,TATA POWER CO LTD,60.95,59.2,2.96
G,TATA MOTORS LIMITED,354.1,344.9,2.67
G,BHARAT PETROLEUM CORP  LT,839.7,820.25,2.37
G,BHEL,217.05,212.75,2.02
G,ZEE ENTERTAINMENT ENT LTD,392.1,385.05,1.83
G,BOSCH LIMITED,21988.85,21634.6,1.64
G,BAJAJ AUTO LIMITED,2302.7,2270,1.44
G,LARSEN & TOUBRO LTD.,1615.35,1592.5,1.43
G,ICICI BANK LTD.,267.4,264.55,1.08
G,INDUSIND BANK LIMITED,866.9,857.95,1.04
G,CAIRN INDIA LIMITED,151.5,150,1
G,TATA STEEL LIMITED,240.2,239.5,0.29
G,HERO MOTOCORP LIMITED,2348.6,2344.3,0.18
G,KOTAK MAHINDRA BANK LTD,635.3,634.7,0.09
G,SUN PHARMACEUTICALS IND.,839.7,839.05,0.08
G,TECH MAHINDRA LIMITED,533.8,533.4,0.07
 , , , , 
L,NMDC LTD.,101.15,104.2,-2.93
L,HCL TECHNOLOGIES LTD,915.9,943.2,-2.89
L,HINDALCO  INDUSTRIES  LTD,76.5,78.6,-2.67
L,POWER GRID CORP. LTD.,123.35,126,-2.1
L,HDFC LTD,1162.75,1186.65,-2.01
L,STATE BANK OF INDIA,227.45,231.65,-1.81
L,DR. REDDY'S LABORATORIES,3973.55,4041.05,-1.67
L,ASIAN PAINTS LIMITED,807.95,821.15,-1.61
L,HINDUSTAN UNILEVER LTD.,790.15,803.05,-1.61
L,WIPRO LTD,552.1,561.1,-1.6
L,OIL AND NATURAL GAS CORP.,226.9,230.4,-1.52
L,NTPC LTD,119.25,120.9,-1.36
L,PUNJAB NATIONAL BANK,133.95,135.65,-1.25
L,BHARTI AIRTEL LIMITED,350.45,354.5,-1.14
L,GRASIM INDUSTRIES LTD,3465.7,3504.7,-1.11
L,LUPIN LIMITED,1818.2,1836.1,-0.97
L,BANK OF BARODA,178.95,180.6,-0.91
L,RELIANCE INDUSTRIES LTD,867,874.05,-0.81
L,INFOSYS LIMITED,1080.45,1088.7,-0.76
L,AXIS BANK LIMITED,482.6,486.25,-0.75
L,ULTRATECH CEMENT LIMITED,2964.4,2985,-0.69
L,GAIL (INDIA) LTD,292.2,293.85,-0.56
L,HDFC BANK LTD,1011,1016.3,-0.52
L,YES BANK LIMITED,713,716.55,-0.5
L,CIPLA LTD,653.7,656.45,-0.42
L,AMBUJA CEMENTS LTD,211.3,212.15,-0.4
L,ITC LTD,313.35,314.4,-0.33
L,COAL INDIA LTD,338.35,338.95,-0.18
L,TATA CONSULTANCY SERV LT,2545.4,2549.75,-0.17
L,VEDANTA LIMITED,99.75,99.9,-0.15
 , , , , 
 ,CNX Nifty Junior Sec., , , 
 , , , , 
G,BAJAJ HOLDINGS & INVS LTD,1600.5,1500.7,6.65
G,CONTAINER CORP OF IND LTD,1483.1,1403.9,5.64
G,RELIANCE COMMUNICATIONS L,65,62.2,4.5
G,GLAXOSMITHKLINE CONSUMER,6192.3,5935.95,4.32
G,APOLLO HOSPITALS ENTER. L,1410.65,1353,4.26
G,DIVI'S LABORATORIES LTD,2159,2071.65,4.22
G,SHRIRAM TRANSPORT FIN CO.,871,839.3,3.78
G,GODREJ CONSUMER PRODUCTS,1208.65,1165.55,3.7
G,EICHER MOTORS LTD,18496.9,17967.35,2.95
G,MRF LTD,40614,39526.65,2.75
G,CROMPTON GREAVES LTD,170.15,165.85,2.59
G,ADITYA BIRLA NUVO LIMITED,2034.25,1984.3,2.52
G,UNITED BREWERIES LTD,864.4,844.05,2.41
G,UNITED SPIRITS LIMITED,3145.25,3080.45,2.1
G,DABUR INDIA LTD,279.9,275.2,1.71
G,OIL INDIA LTD,444.05,436.95,1.62
G,SIEMENS LTD,1249.85,1232.7,1.39
G,RELIANCE CAPITAL LTD,341.8,337.35,1.32
G,ORACLE FIN SERV SOFT LTD.,3840.3,3791.85,1.28
G,INDIABULLS HSG FIN LTD,724.4,715.95,1.18
G,RELIANCE INFRASTRUCTU LTD,344.6,341.05,1.04
G,GLAXOSMITHKLINE PHARMA LT,3350.9,3319.85,0.94
G,RELIANCE POWER LTD.,38.25,37.9,0.92
G,EXIDE INDUSTRIES LTD,150.4,149.05,0.91
G,LIC HOUSING FINANCE LTD,430.7,427.75,0.69
G,ADANI PORT & SEZ LTD,326.2,324.05,0.66
G,HINDUSTAN PETROLEUM CORP,789.7,784.6,0.65
G,RURAL ELEC CORP. LTD.,251.3,250.35,0.38
G,TATA GLOBAL BEVERAGES LTD,123.75,123.65,0.08
 , , , , 
L,UPL LIMITED,496.1,520.6,-4.71
L,BHARTI INFRATEL LTD.,391.2,407.55,-4.01
L,STEEL AUTHORITY OF INDIA,52.15,54.1,-3.6
L,PETRONET LNG LIMITED,173.55,179.95,-3.56
L,MOTHERSON SUMI SYSTEMS LT,276.2,285.15,-3.14
L,BHARAT FORGE LTD,1022.2,1053.95,-3.01
L,CANARA BANK,257.45,265.1,-2.89
L,BANK OF INDIA,131.8,135.3,-2.59
L,UNION BANK OF INDIA,166.9,170.9,-2.34
L,M&M FIN. SERVICES LTD,241.6,247.3,-2.3
L,GLENMARK PHARMACEUTICALS,1000.3,1017.35,-1.68
L,TITAN COMPANY LIMITED,325.95,330.55,-1.39
L,COLGATE PALMOLIVE LTD.,1818.95,1835.7,-0.91
L,TATA CHEMICALS LTD,388.35,391.8,-0.88
L,CUMMINS INDIA LTD,1110.25,1117.6,-0.66
L,AUROBINDO PHARMA LTD,710.15,714.5,-0.61
L,JSW STEEL LIMITED,975.65,981.55,-0.6
L,POWER FIN CORP LTD.,221.25,222.5,-0.56
L,BRITANNIA INDUSTRIES LTD,2864.4,2879.95,-0.54
L,BAJAJ FINSERV LTD.,1805.25,1811.15,-0.33
L,FEDERAL BANK LTD,59.65,59.7,-0.08
 , , , , 
 ,OTHER SECURITIES, , , 
 , , , , 
G,VISESH INFOTECNICS LTD,0.1,0.05,100
G,VKS PROJECTS LIMITED,0.15,0.1,50
G,KSS LIMITED,0.2,0.15,33.33
G,NAKODA LIMITED,0.25,0.2,25
G,RASOYA PROTEINS LTD,0.3,0.25,20
G,MIRC ELECTRONICS LTD,15.65,13.5,15.93
G,BURNPUR CEMENT LTD.,9.15,8.15,12.27
G,LML LTD,7.5,6.7,11.94
G,SUVEN LIFE SCIENCES LTD,230.8,207.05,11.47
G,NEULAND LAB LTD.,690,621.2,11.08
G,KARMA ENERGY LIMITED,21.1,19,11.05
G,SATIN CREDIT NET LTD,158.2,143.85,9.98
G,ARVIND INFRASTRUCTURE LTD,33.35,30.35,9.88
G,OMNITECH INFOSOLU LTD.,4,3.65,9.59
G,JYOTI STRUCTURES LTD,13.4,12.25,9.39
G,IL&FS INVESTMENT MANAGERS,18.65,17.05,9.38
G,EURO CERAMICS LTD,4.2,3.85,9.09
G,SEZAL GLASS LIMITED,5,4.6,8.7
G,ADOR WELDING LTD,256.4,236.2,8.55
G,FUTURE MKT NETWORKS LTD,14.2,13.1,8.4
G,PAE LIMITED,15.5,14.3,8.39
G,XL ENERGY LIMITED,3.25,3,8.33
G,TRICOM INDIA LIMITED,1.3,1.2,8.33
G,WOCKHARDT LIMITED,1316.25,1217.45,8.12
G,PRAKASH CONSTROWELL LTD,2,1.85,8.11
G,GOKUL REFOILS & SOLV LTD,23.6,21.85,8.01
G,UNICHEM LABORATORIES LTD,281.65,261.75,7.6
G,CENTURY EXTRUSIONS LTD,1.45,1.35,7.41
G,PARAMOUNT COMM LTD,2.25,2.1,7.14
 , , , , 
L,NOESIS INDUSTRIES LIMITED,0.35,0.4,-12.5
L,BIL ENERGY SYSTEMS LTD,0.75,0.85,-11.76
L,CURA TECHNOLOGIES LTD,10,11.1,-9.91
L,MANALI PETROCHEMICALS LT,21.25,23.55,-9.77
L,DYNACONS SYS & SOLN LTD,8.35,9.25,-9.73
L,KAVVERI TEL. LTD.,14.25,15.6,-8.65
L,CINEVISTA LIMITED,3.35,3.65,-8.22
L,SURANA TELECOM AND POW LT,3.4,3.7,-8.11
L,INFOMEDIA PRESS LIMITED,3.4,3.7,-8.11
L,ERA INFRA ENGINEERING LTD,2.3,2.5,-8
L,BHAGYANAGAR INDIA LIMITED,14.75,16,-7.81
L,GINNI FILAMENTS LTD,19.3,20.85,-7.43
L,KHAITAN ELECTRICALS LTD,39.65,42.8,-7.36
L,BANNARI AMMAN SUGARS LTD,634.3,683.55,-7.21
L,SUN TV NETWORK LIMITED,344.35,370.7,-7.11
L,MADRAS FERTILISERS LTD,11.15,12,-7.08
L,SRIKALAHASTHI PIPES LTD,210.65,226.05,-6.81
L,INDUSTRIAL INV TRUST LTD,59,63,-6.35
L,ZENITH BIRLA (INDIA) LTD,0.75,0.8,-6.25
L,PSL LIMITED,7.95,8.45,-5.92
L,TANTIA CONST LTD,18.35,19.5,-5.9
L,PBA INFRASTRUCTURE LTD.,11.25,11.95,-5.86
L,LOTUS EYE HOSPITAL LTD.,12.45,13.2,-5.68
L,CREST VENTURES LIMITED,40,42.4,-5.66
L,KOTHARI SUG & CHEM LTD.,5.9,6.25,-5.6
L,SICAGEN INDIA LIMITED,14,14.8,-5.41
L,PNB GILTS LIMITED,26.15,27.6,-5.25
L,LAMBODHARA TEXTILES LTD.,797.85,841.3,-5.16
L,UPPER GANGES SUGAR & INDS,32.2,33.95,-5.15
L,GUJ NRE DVR 'B' CLASS,1.85,1.95,-5.13
